"Cód.","Proveedor","Fecha","Fecha Venc.","Nro.Fac.","Concepto","Imp.Pres.","Imp.Bonif.","Imp.Ajuste","Imp.NC","Imp.Pago","Saldo"
"10","OSEP AMB.- PLANES ESPECIALES                  ","05/02/2026","07/03/2026","515182","2º ENERO / 26  P. ESP.(1432)","$ 455.700,29","$ 69.130,88","$ 000,00","$ 000,00","$ 000,00","$ 386.569,41"
"15","PAMI (I.N.S.S.J.P. prest.2001) (COFA )","05/12/2025","03/02/2026","514931","2º NOVIEMBRE/25","$ 5.882.209,69","$ 000,00","$ 000,00","$ 1.856.400,73","$ 1.617.357,30","$ 2.408.451,66"
"15","PAMI (I.N.S.S.J.P. prest.2001) (COFA )","17/12/2025","15/02/2026","514962","1º DICIEMBRE/25","$ 6.541.274,19","$ 000,00","$ 000,00","$ 1.968.643,55","$ 1.933.990,46","$ 2.638.640,18"
"15","PAMI (I.N.S.S.J.P. prest.2001) (COFA )","07/01/2026","08/03/2026","515032","2º DICIEMBRE / 25","$ 7.137.553,03","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 7.137.553,03"
"15","PAMI (I.N.S.S.J.P. prest.2001) (COFA )","23/01/2026","24/03/2026","515097","1º ENERO / 26","$ 8.549.377,80","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 8.549.377,80"
"30","SWISS MEDICAL GROUP ( IMED )           ","13/01/2026","27/02/2026","402718","ENERO / 26 (1430)","$ 1.059.481,85","$ 138.034,46","$ 000,00","$ 000,00","$ 000,00","$ 921.447,39"
"46","JER-SALUD(Personal jerarquico)","10/12/2025","30/12/2025","514949","NOVIEMBRE/25 (6102193)","$ 101.654,31","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 101.654,31"
"56","UP/UPCN (U.Personal)          ","27/01/2026","26/02/2026","515131","ENERO / 26 (327356)","$ 15.615,60","$ 3.318,32","$ 000,00","$ 000,00","$ 000,00","$ 12.297,28"
"82","DAMSU   (MZA.)                ","15/01/2026","14/02/2026","515085","1º ENERO / 26 - URBANO","$ 102.056,21","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 102.056,21"
"100","PAMI ALTO COSTO (CAMOYTE - COFA )","08/09/2025","08/10/2025","514473","AGOSTO / 25  (908004)","$ 56.000,00","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 56.000,00"
"100","PAMI ALTO COSTO (CAMOYTE - COFA )","10/11/2025","10/12/2025","514799","OCTUBRE / 25 (922511100059","$ 80.000,00","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 80.000,00"
"137","GALENO (IMED)   (MZA.)                  ","25/11/2025","25/12/2025","402656","NOVIEMBRE / 25 (1424)","$ 147.497,16","$ 10.269,58","$ 000,00","$ 000,00","$ 000,00","$ 137.227,58"
"137","GALENO (IMED)   (MZA.)                  ","26/01/2026","25/02/2026","402736","ENERO / 26 (1432)","$ 107.945,85","$ 10.158,21","$ 000,00","$ 000,00","$ 000,00","$ 97.787,64"
"149","RECETARIO SOLIDARIO (COFA)          ","12/01/2026","06/02/2026","515048","ENERO / 26","$ 75.997,99","$ 37.998,99","$ 000,00","$ 000,00","$ 000,00","$ 37.999,00"
"151","OMINT ( CS Salud S.A) (IMED)        ","13/01/2026","02/02/2026","402719","ENERO / 26 (1430)","$ 82.067,92","$ 4.103,40","$ 000,00","$ 000,00","$ 000,00","$ 77.964,52"
"315","OSEP O. LOGISTICO","19/06/2025","19/07/2025","514123","1º JUNIO / 25 INS.","$ 1.704.371,85","$ 1.670.284,41","$ 000,00","$ 000,00","$ 000,00","$ 34.087,44"
"315","OSEP O. LOGISTICO","21/07/2025","20/08/2025","514256","1º JULIO / 25 INS (1406)","$ 874.869,88","$ 857.372,48","$ 000,00","$ 000,00","$ 000,00","$ 17.497,40"
"315","OSEP O. LOGISTICO","05/08/2025","04/09/2025","514350","2º JULIO / 25 (1408) INS.","$ 922.110,77","$ 903.668,55","$ 000,00","$ 000,00","$ 000,00","$ 18.442,22"
"315","OSEP O. LOGISTICO","19/09/2025","19/10/2025","514528","1º SEPTIEMBRE / 25 INS. (1414)","$ 1.370.365,40","$ 1.342.958,09","$ 000,00","$ 000,00","$ 000,00","$ 27.407,31"
"315","OSEP O. LOGISTICO","06/11/2025","06/12/2025","514787","2º OCTUBRE / 25 INS.","$ 1.651.523,24","$ 1.618.492,78","$ 000,00","$ 000,00","$ 000,00","$ 33.030,46"
"315","OSEP O. LOGISTICO","18/12/2025","17/01/2026","514966","1º DICIEMBRE/25 INS","$ 1.098.859,98","$ 1.076.882,78","$ 000,00","$ 000,00","$ 000,00","$ 21.977,20"
"315","OSEP O. LOGISTICO","21/01/2026","20/02/2026","515092","1º ENERO / 26 INS.(1430)","$ 1.274.540,87","$ 1.249.050,05","$ 000,00","$ 000,00","$ 000,00","$ 25.490,82"
"341","PAMI PAÑALES(COFA)  ","10/06/2025","10/07/2025","514105","MAYO / 25 (610011)","$ 718.204,20","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 718.204,20"
"368","SANCOR SALUD (CSF) ","23/12/2025","22/01/2026","514990","DICIEMBRE/25 (322102)","$ 560.142,26","$ 112.182,10","$ 000,00","$ 000,00","$ 000,00","$ 447.960,16"
"368","SANCOR SALUD (CSF) ","23/01/2026","22/02/2026","515111","ENERO / 26 (327674)","$ 490.613,11","$ 97.981,81","$ 000,00","$ 000,00","$ 000,00","$ 392.631,30"
"369","PREVENCION SALUD (CSF)","26/12/2025","25/01/2026","515000","DICIEMBRE/25 (322101)","$ 224.324,75","$ 49.356,58","$ 000,00","$ 000,00","$ 000,00","$ 174.968,17"
"369","PREVENCION SALUD (CSF)","26/01/2026","25/02/2026","515123","ENERO / 26 (327676)","$ 177.570,19","$ 55.490,69","$ 000,00","$ 000,00","$ 000,00","$ 122.079,50"
"374","MEDIFE","25/11/2025","25/12/2025","402657","NOVIEMBRE / 25","$ 577.818,13","$ 52.503,88","$ 000,00","$ 000,00","$ 000,00","$ 525.314,25"
"374","MEDIFE","23/12/2025","22/01/2026","402693","DICIEMBRE/25 (1428)","$ 168.811,56","$ 21.832,21","$ 000,00","$ 000,00","$ 000,00","$ 146.979,35"
"374","MEDIFE","28/01/2026","27/02/2026","402738","ENERO / 26 (1432)","$ 63.187,72","$ 10.593,98","$ 000,00","$ 000,00","$ 000,00","$ 52.593,74"
"381","ANDES SALUD ( SIV )  (MZA.)","29/01/2026","28/02/2026","515145","ENERO / 26","$ 8.943,24","$ 638,80","$ 000,00","$ 000,00","$ 000,00","$ 8.304,44"
"400","MPN - COFA","27/01/2026","27/01/2026","515130","2º ENERO / 26 (98000853)","$ 33.714,83","$ 000,00","$ 000,00","$ 000,00","$ 000,00","$ 33.714,83"
"410","OSPe  (PETROLEOS)","24/12/2025","23/01/2026","402701","DICIEMBRE/25","$ 235.668,24","$ 58.917,06","$ 000,00","$ 000,00","$ 000,00","$ 176.751,18"
"410","OSPe  (PETROLEOS)","27/01/2026","26/02/2026","402737","ENERO / 26","$ 239.217,25","$ 59.804,31","$ 000,00","$ 000,00","$ 000,00","$ 179.412,94"
"429","NOBIS","26/01/2026","12/03/2026","515127","ENERO / 26","$ 7.559,67","$ 907,16","$ 000,00","$ 000,00","$ 000,00","$ 6.652,51"
