Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion,Item,Troquel/Reg.Med ,Drog.Present,Fabricante,Rubro,Cantidad,Precio Unitario,Imp.Bonif,Bonif,Descuento,Importe Cobertura,Importe Afiliado
,0003-00017035,FACTURA DE COMPRA POS,,"$ 885.329,78",15/12/2025,15/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 125263 PLACA FLEX. STOMAHE,768455101764,null,VARIOS,ACC.,50,"1,00","0,00","0,00","0,00","50,00","0,00"
,,,,,,,,,,,CVT 416415 NATURA + BOLSA DREN,4441,null,VARIOS,ACC.,50,"1,00","0,00","0,00","0,00","50,00","0,00"
,0003-00017059,FACTURA DE COMPRA POS,,"$ 20.570,00",17/12/2025,17/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,D GUANTES LATEX CAJA LX100,1111,null,NIPRO MEDICAL ,ACC.,5,"1,00","0,00","0,00","0,00","5,00","0,00"
,0003-00017080,FACTURA DE COMPRA POS,,"$ 113.767,83",19/12/2025,19/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 64927 BOLS. UROST. RECORT.,,null,VARIOS,ACC.,20,"1,00","0,00","0,00","0,00","20,00","0,00"
,0003-00017079,FACTURA DE COMPRA POS,,"$ 45.003,00",19/12/2025,19/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,GOCHEK2 KIT MEDID X1,6958590302520,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,3,"1,00","0,00","0,00","0,00","3,00","0,00"
,,,,,,,,,,,GOCHEK2 TIRAS REACT.X 50,6958590303046,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,6,"1,00","0,00","0,00","0,00","6,00","0,00"
,0003-00017078,FACTURA DE COMPRA POS,,"$ 59.584,64",19/12/2025,19/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 416701 BOLS. DE COLOST. CO,,null,VARIOS,ACC.,30,"1,00","0,00","0,00","0,00","30,00","0,00"
,0003-00017091,FACTURA DE COMPRA POS,,"$ 217.745,55",22/12/2025,22/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 183910 PASTA STOMAHESIVE H,768455100019,null,VARIOS,ACC.,15,"1,00","0,00","0,00","0,00","15,00","0,00"
,0003-00017086,FACTURA DE COMPRA POS,,"$ 107.016,03",22/12/2025,22/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 416975(416719) BOLSA ILEOS,768455111893,null,VARIOS,ACC.,20,"1,00","0,00","0,00","0,00","20,00","0,00"
,0003-00017096,FACTURA DE COMPRA POS,,"$ 54.329,00",23/12/2025,23/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,D GUANTES LATEX CAJA LX100,1111,null,NIPRO MEDICAL ,ACC.,6,"1,00","0,00","0,00","0,00","6,00","0,00"
,,,,,,,,,,,D GUANTES LATEX CAJA MX100,1111,null,NIPRO MEDICAL ,ACC.,7,"1,00","0,00","0,00","0,00","7,00","0,00"
,0003-00017095,FACTURA DE COMPRA POS,,"$ 498.081,51",23/12/2025,23/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 125371 BOLS. DRENAB. TRASN,768455109326,null,VARIOS,ACC.,30,"1,00","0,00","0,00","0,00","30,00","0,00"
,,,,,,,,,,,CVT 175507 CINTURON PARA EQUIP,768455107186,null,VARIOS,ACC.,1,"1,00","0,00","0,00","0,00","1,00","0,00"
,,,,,,,,,,,CVT 423288 ESENTA SKIN BARR 50,768455170128,null,VARIOS,ACC.,10,"1,00","0,00","0,00","0,00","10,00","0,00"
,,,,,,,,,,,D TELA MICROPORE 2.5X9-3M,30707387065974,null,3 M,ACC.MASIVOS,3,"1,00","0,00","0,00","0,00","3,00","0,00"
,0003-00017112,FACTURA DE COMPRA POS,,"$ 45.003,00",26/12/2025,26/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,GOCHEK2 KIT MEDID X1,6958590302520,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,3,"1,00","0,00","0,00","0,00","3,00","0,00"
,,,,,,,,,,,GOCHEK2 TIRAS REACT.X 50,6958590303046,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,6,"1,00","0,00","0,00","0,00","6,00","0,00"
,0003-00017115,FACTURA DE COMPRA POS,,"$ 81.021,60",29/12/2025,29/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 422159 ESTEEN CONVEX R.O.T,00768455152544,null,VARIOS,ACC.,10,"0,00","0,00","0,00","0,00","0,00","0,00"
,0003-00017124,FACTURA DE COMPRA POS,,"$ 181.984,00",29/12/2025,29/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,NONISEC PAÑAL BASICO GDE  X50,7790940410146,null,LENTERDIT SA,PAÑALES,4,"0,00","0,00","0,00","0,00","0,00","0,00"
,,,,,,,,,,,NONISEC PAÑAL BASICO XG   X50,7790940410153,null,LENTERDIT SA,PAÑALES,6,"0,00","0,00","0,00","0,00","0,00","0,00"
COFARMEN (COOP),0018-01224329,FACTURA DE COMPRA POS,,"$ 103.729,16",01/12/2025,01/11/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,VALCA CR ULTRA REGENERA X 50G,714604118541,VIT.A+ASOC. ,VALCA ,PER.MASIVA,2,"10.682,81","0,00","0,00","0,00","21.365,62","0,00"
,,,,,,,,,,,ATUCHA JE P/ENEMA N 10,7793066120104,null,COZZA & ,ACC.MASIVOS,1,"4.038,77","0,00","0,00","0,00","4.038,77","0,00"
,,,,,,,,,,,PANTUS 40 40MG COMP REC GAX28,7795338002774,PANTOPRAZOL 40 MG ,BALIARDA,ESP. ,3,"12.163,60","0,00","0,00","0,00","36.490,80","0,00"
,,,,,,,,,,,PERVICOL GEL X 250ML,7791848054487,ALCOHOL+ALOE ,ELEA,ALCOH-,1,"6.106,41","0,00","0,00","0,00","6.106,41","0,00"
,,,,,,,,,,,SANADROG LIMONADA ROGE X 80GR,7798068823718,null,SANADROG,ALCOH-,1,"2.009,70","0,00","0,00","0,00","2.009,70","0,00"
,,,,,,,,,,,VYTORIN 10/10 MG COMP X 30,7798376720587,EZETIMIBE+SIMVASTA,ORGANON,ESP. ,1,"30.340,22","0,00","0,00","0,00","30.340,22","0,00"
,0018-01225471,FACTURA DE COMPRA POS,,"$ 22.064,93",01/12/2025,01/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,DOLTEN SL 10MG COMP SUBL X10,7791824116130,KETOROLAC 10 MG ,PFIZER,ESP. ,2,"10.950,33","0,00","0,00","0,00","21.900,66","0,00"
,0018-01226059,FACTURA DE COMPRA POS,,"$ 107.492,32",01/12/2025,01/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,AMOXIDAL   500 MG COMP X 16,7795345011721,AMOXICILINA  500 MG    ,ROEMMERS,ESP. ,1,"6.023,18","0,00","0,00","0,00","6.023,18","0,00"
,,,,,,,,,,,MIOPROPAN T COMP X 20,7792175001045,TRIMEBUTINA+BROM,BERNABO (LAB),ESP. ,1,"7.378,35","0,00","0,00","0,00","7.378,35","0,00"
,,,,,,,,,,,NEURYL 2    MG COMP X 50,7790375251321,CLONAZEPAM  2    ,BAGO,ESP. ,1,"13.582,06","0,00","0,00","0,00","13.582,06","0,00"
,,,,,,,,,,,PLENICA  75 MG PRACT COMP X30,7795345001401,PREGABALINA  75 MG ,ROEMMERS,ESP. ,1,"27.622,15","0,00","0,00","0,00","27.622,15","0,00"
,,,,,,,,,,,SOMIT 10 MG COMP X 30,7792183186376,ZOLPIDEM 10    MG     ,GADOR,ESP. ,1,"13.694,75","0,00","0,00","0,00","13.694,75","0,00"
,,,,,,,,,,,COLORAMA ESM BLANCO FRANCES,7899026404892,null,MAYBELLINE ,PER.MASIVA,1,"2.563,37","0,00","0,00","0,00","2.563,37","0,00"
,,,,,,,,,,,DOLTEN SL 10MG COMP SUBL X10,7791824116130,KETOROLAC 10 MG ,PFIZER,ESP. ,1,"10.950,33","0,00","0,00","0,00","10.950,33","0,00"
,,,,,,,,,,,GENOLAXANTE GRAG X 50,7792234060501,FENOLFTALEINA+ASO,CRAVERI,ESP. ,1,"15.260,71","0,00","0,00","0,00","15.260,71","0,00"
,,,,,,,,,,,HEXALER NASAL SPR  X120 DS,7798129414664,MOMETASONA   50 ,SIEGFRIED,ESP. ,1,"8.193,15","0,00","0,00","0,00","8.193,15","0,00"
,,,,,,,,,,,SANADROG AGOX 10 VOL     X100,7798068824333,null,SANADROG,ALCOH-,1,"438,48","0,00","0,00","0,00","438,48","0,00"
,0018-01226060,FACTURA DE COMPRA POS,,"$ 52.738,75",01/12/2025,01/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ONOTRAN  5 MG COMP X 28,7798112991608,OLANZAPINA  5   MG ,LEPETIT,ESP. ,1,"52.346,15","0,00","0,00","0,00","52.346,15","0,00"
,0018-01228737,FACTURA DE COMPRA POS,,"$ 12.146,53",02/12/2025,02/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,ACTRON 600 RA CAPS X 10,7793640215523,IBUPROFENO 600 MG ,BAYER ,ESP. ,2,"6.028,06","0,00","0,00","0,00","12.056,12","0,00"
,0018-01229262,FACTURA DE COMPRA POS,,"$ 1.148.043,11",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,AGAROL 5 MG GELCAPS X 10,7796285120214,SODIO PICOSULFATO ,ELEA,ESP. ,1,"9.122,94","0,00","0,00","0,00","9.122,94","0,00"
,,,,,,,,,,,AGLUCIDE MR 60 MG COMP X 30,7795328057845,GLICLAZIDA 60 MG ,BETA,ESP. ,1,"26.199,00","0,00","0,00","0,00","26.199,00","0,00"
,,,,,,,,,,,ALIVIAMAX 1  % SOL OFT X 10ML,7798050063542,CARBOXIMETILCELUL,DENVER FARMA,ESP. ,1,"11.357,73","0,00","0,00","0,00","11.357,73","0,00"
,,,,,,,,,,,AMPLIAR 10 MG COMP X 30,7791909292094,ATORVASTATIN 10 ,CASASCO,ESP. ,1,"24.518,28","0,00","0,00","0,00","24.518,28","0,00"
,,,,,,,,,,,APATRIX 60 MG CAPS X 30,7798084687059,DEXLANSOPRAZOL 60 ,ADIUM,ESP. ,1,"37.101,38","0,00","0,00","0,00","37.101,38","0,00"
,,,,,,,,,,,BEFOL 75 MG COMP X 10,7796363002418,DICLOFENAC ,BIOTENK,ESP. ,1,"5.743,05","0,00","0,00","0,00","5.743,05","0,00"
,,,,,,,,,,,CAFIASPIRINA PLUS COMP X 20,7793640000778,ACETILSALICILICO ,BAYER ,ESP. ,1,"4.070,21","0,00","0,00","0,00","4.070,21","0,00"
,,,,,,,,,,,CALCIOCIT        COMP X 30,7795371458163,CALCIO+VIT.D  ,TRB-PHARMA,ESP. ,1,"6.105,32","0,00","0,00","0,00","6.105,32","0,00"
,,,,,,,,,,,CETIZINE 10 MG COMP X 20,7795347970811,CETIRIZINA 10 MG ,LAZAR,ESP. ,1,"9.016,58","0,00","0,00","0,00","9.016,58","0,00"
,,,,,,,,,,,CORBIS  5   MG COMP X 30,7795345010830,BISOPROLOL  5    MG ,ROEMMERS,ESP. ,1,"11.182,62","0,00","0,00","0,00","11.182,62","0,00"
,,,,,,,,,,,DEBLAX CAPS BLAND X 1,7798084685451,VIT.D3 100000 IU ,ADIUM,ESP. ,1,"9.083,10","0,00","0,00","0,00","9.083,10","0,00"
,,,,,,,,,,,EUTHYROX  75 MCG COMP X 50,7796285271022,LEVOTIROXINA  75 ,ELEA,ESP. ,1,"17.321,43","0,00","0,00","0,00","17.321,43","0,00"
,,,,,,,,,,,FLOGOCOX CB  90 MG CAPS X 14,7790375269500,ETORICOXIB  90 MG ,BAGO,ESP. ,1,"18.679,50","0,00","0,00","0,00","18.679,50","0,00"
,,,,,,,,,,,FUCSIA SIN ESTROGENOS CM X 28,7792183490374,DROSPIRENONA 4 MG ,GADOR,ESP. ,1,"20.260,53","0,00","0,00","0,00","20.260,53","0,00"
,,,,,,,,,,,GADOCOR 10 MG COMP X 30,7792183002461,NEBIVOLOL 10   MG ,GADOR,ESP. ,1,"23.026,75","0,00","0,00","0,00","23.026,75","0,00"
,,,,,,,,,,,GLUCOPHAGE XR  500MG LP X 30,7796285270896,METFORMINA  500 ,ELEA,ESP. ,1,"14.764,60","0,00","0,00","0,00","14.764,60","0,00"
,,,,,,,,,,,HOLOMAGNESIO B6 COMP X 50,7791848205087,MAGNESIO+ASOC. ,ELEA,ESP. ,1,"62.707,97","0,00","0,00","0,00","62.707,97","0,00"
,,,,,,,,,,,HOLOMAGNESIO INTEG.    X150G,7796285295813,MAGNESIO+ASOC. ,ELEA,NUTRICION/,2,"11.352,79","0,00","0,00","0,00","22.705,58","0,00"
,,,,,,,,,,,IDENA 150 MG COMP X 1,7798084684539,IBANDRONICO AC. ,ADIUM,ESP. ,1,"28.370,10","0,00","0,00","0,00","28.370,10","0,00"
,,,,,,,,,,,LIDIL CORT NASAL X 120 DS,7795345013152,FLUTICASONA  50   ,ROEMMERS,ESP. ,1,"8.588,64","0,00","0,00","0,00","8.588,64","0,00"
,,,,,,,,,,,LIPIFEN 40 MG COMP X 30,7798084683693,ATORVASTATIN 40 ,ADIUM,ESP. ,1,"49.540,53","0,00","0,00","0,00","49.540,53","0,00"
,,,,,,,,,,,LISFAR PASTILLERO MMT SEMANAL,7798028009619,null,LISTEN,ACC.MASIVOS,1,"7.621,10","0,00","0,00","0,00","7.621,10","0,00"
,,,,,,,,,,,LOUTEN EMULS X 2.5 ML,7795368002942,LATANOPROST 50 ,POEN,ESP. ,1,"22.093,16","0,00","0,00","0,00","22.093,16","0,00"
,,,,,,,,,,,MICARDIS 80 MG COMP X 28,4048846016348,TELMISARTAN 80 MG ,BOEHRINGER ,ESP. ,1,"111.619,00","0,00","0,00","0,00","111.619,00","0,00"
,,,,,,,,,,,MICOSEP   NF CR DERM X 30 G,7795373022348,CLOTRIMAZOL   1 G% ,CASSARA,ESP. ,1,"5.554,07","0,00","0,00","0,00","5.554,07","0,00"
,,,,,,,,,,,MICOSEP DEO AER X 110 G,7795373015593,CLOTRIMAZOL   1 G% ,CASSARA,ESP. ,1,"12.006,00","0,00","0,00","0,00","12.006,00","0,00"
,,,,,,,,,,,NAPRUX 500 MG COMP X 20,7793742002076,NAPROXENO 500 MG ,ANDROMACO,ESP. ,1,"21.244,17","0,00","0,00","0,00","21.244,17","0,00"
,,,,,,,,,,,OMECAP 90 CAPS BLAND X 30,7792183002775,ACIDOS GRASOS ,GADOR,ESP. ,1,"36.284,89","0,00","0,00","0,00","36.284,89","0,00"
,,,,,,,,,,,PAXON D  50/12.5 MG COMP X 30,7792183488180,LOSARTAN+HIDROCL,GADOR,ESP. ,1,"19.158,76","0,00","0,00","0,00","19.158,76","0,00"
,,,,,,,,,,,PELMEC 10 MG COMP X 30,7791909224460,AMLODIPINA 10 MG ,CASASCO,ESP. ,1,"19.305,40","0,00","0,00","0,00","19.305,40","0,00"
,,,,,,,,,,,REFRIANEX A/GRIP COMP X 20,7795378002734,PARACETAMOL+FENIL,MONTPELLIER,ESP. ,1,"5.561,87","0,00","0,00","0,00","5.561,87","0,00"
,,,,,,,,,,,REGULIP 1 G CAP X 60,7798084680500,ACEITE DE SALMON ,ADIUM,ESP. ,1,"41.189,69","0,00","0,00","0,00","41.189,69","0,00"
,,,,,,,,,,,RELVAR ELLIPTA 184/22MCGX30DS,7798365530418,FLUTICASONA ,GLAXOSMITHKLI,ESP. ,1,"94.068,49","0,00","0,00","0,00","94.068,49","0,00"
,,,,,,,,,,,ROGASTRIL 1 MG COMP X 30,7795345011240,CINITAPRIDE 1 MG ,ROEMMERS,ESP. ,1,"14.663,33","0,00","0,00","0,00","14.663,33","0,00"
,,,,,,,,,,,SALAC CR  X 30 G,7793742003097,CLOBETASOL 0.05 G% ,ANDROMACO,ESP. ,2,"20.305,10","0,00","0,00","0,00","40.610,20","0,00"
,,,,,,,,,,,UVASAL FCO NRJA  X 100 G,7794640170058,SODIO ,HALEON (GSK),ESP. ,1,"5.336,94","0,00","0,00","0,00","5.336,94","0,00"
,,,,,,,,,,,VALCOTE 500 MG COMP X 50,7790440621523,SODIO DIVALPROATO ,ABBOTT EPD,ESP. ,2,"84.024,76","0,00","0,00","0,00","168.049,52","0,00"
,,,,,,,,,,,VASOTENAL 10 MG COMP X 30,7795345009704,SIMVASTATIN 10 MG ,ROEMMERS,ESP. ,1,"15.457,46","0,00","0,00","0,00","15.457,46","0,00"
,,,,,,,,,,,VILZERMET 50/ 500MG COMP X 60,7798084686144,VILDAGLIPTIN+METF,ADIUM,ESP. ,1,"77.877,48","0,00","0,00","0,00","77.877,48","0,00"
,0018-01229264,FACTURA DE COMPRA POS,,"$ 10.787,27",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,SEGURITE UD 1.5 MG  COMP X 1,7798084688063,LEVONORGESTREL           ,ADIUM,ESP. ,1,"6.456,21","0,00","0,00","0,00","6.456,21","0,00"
,0018-01229263,FACTURA DE COMPRA POS,,"$ 57.730,71",02/12/2025,01/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CALMADOR 100 MG GTS X20ML,7791171102060,TRAMADOL 100 ,FINADIET,ESP. ,1,"19.579,72","0,00","0,00","0,00","19.579,72","0,00"
,,,,,,,,,,,MEGACISTIN BLOCKER CAPS X 30,7791984001086,CISTINA+ASOC.  ,MILLET (LAB),NUTRICION/,1,"22.999,62","0,00","0,00","0,00","22.999,62","0,00"
,,,,,,,,,,,TAFIROL 1 G  COMP X 50,7798140251118,PARACETAMOL 1000 ,GENOMMA ,ESP. ,2,"9.396,96","0,00","0,00","0,00","18.793,92","0,00"
,0018-01229223,FACTURA DE COMPRA POS,,"$ 111.589,59",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ARLYT PREMIUM X120ML,7798195030010,"SODIO, ",POEN,OPTICA,1,"6.614,42","0,00","0,00","0,00","6.614,42","0,00"
,,,,,,,,,,,BEMPEZET 180/ 10MG COMP X 30,7798084687707,BEMPEDOICO ÁC.,ADIUM,ESP. ,1,"61.764,08","0,00","0,00","0,00","61.764,08","0,00"
,,,,,,,,,,,CETIZINE L 5 MG COMP X 30,7795347913757,LEVOCETIRIZINA  5 ,LAZAR,ESP. ,1,"15.456,42","0,00","0,00","0,00","15.456,42","0,00"
,,,,,,,,,,,CORPRES  5   MG COMP X 60,7795345122960,NEBIVOLOL  5   MG ,ROEMMERS,ESP. ,1,"25.545,29","0,00","0,00","0,00","25.545,29","0,00"
,0018-01229224,FACTURA DE COMPRA POS,,"$ 30.369,85",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,PRISONIL A   5/ 50 MG COMPX60,7798011653812,AMLODIPINA+LOSART,LEPETIT,ESP. ,1,"29.266,80","0,00","0,00","0,00","29.266,80","0,00"
,0018-01231355,FACTURA DE COMPRA POS,,"$ 490.841,04",03/12/2025,03/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,INSU.APIDRA SOLOS 100U 5X3ML,7795312020770,INSU GLULISINA 100 ,SANOFI-,ESP. ,1,"336.981,28","0,00","0,00","0,00","336.981,28","0,00"
,,,,,,,,,,,INSU.INSULATARD FLEXP 5X3  ML,7798058931058,INSU HUMANA 100 ,NOVO NORDISK,ESP. ,1,"150.205,85","0,00","0,00","0,00","150.205,85","0,00"
,0018-01230966,FACTURA DE COMPRA POS,,"$ 154.246,61",03/12/2025,03/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,HEMAX  2000 UI F-AMP + DILUY,7795355000197,ERITROPOYETINA ,BIOSIDUS SAU,ESP. ,4,"15.717,66","0,00","0,00","0,00","62.870,64","0,00"
,,,,,,,,,,,XELEVIA MET 50/1000MG COMPX56,7797991000555,SITAGLIPTINA+METF,GADOR,ESP. ,1,"90.227,70","0,00","0,00","0,00","90.227,70","0,00"
,0018-01232433,FACTURA DE COMPRA POS,,"$ 42.086,45",03/12/2025,03/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CAPILATIS P/ES SH PIOJOS X420,7792640006704,null,CAPILATIS,PER.MASIVA,1,"4.618,92","0,00","0,00","0,00","4.618,92","0,00"
,,,,,,,,,,,IBUPIRAC   600 MG COMP X  20,7791824112743,IBUPROFENO 600 MG ,PFIZER,ESP. ,1,"9.860,49","0,00","0,00","0,00","9.860,49","0,00"
,,,,,,,,,,,LOMECAN V THERAPY  ESP.X150ML,7798140256427,null,GENOMMA ,ESP.,1,"5.317,89","0,00","0,00","0,00","5.317,89","0,00"
,,,,,,,,,,,SIMULTAN  80 MG COMP X 30,7795347954484,VALSARTAN  80 MG ,LAZAR,ESP. ,1,"18.938,50","0,00","0,00","0,00","18.938,50","0,00"
,0018-01235481,FACTURA DE COMPRA,,"$ 0,01",04/12/2025,03/01/2026,FCIA BIOSALUD,INGRESADO,,PVD-03-INGRESAR FACTURA ,,,,,,,,,,,,
,0018-01234130,FACTURA DE COMPRA POS,,"$ 39.895,94",04/12/2025,04/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,MEPLAR 30 MG COMP X 30,7795338016405,PAROXETINA 30   MG     ,BALIARDA,ESP. ,1,"39.597,96","0,00","0,00","0,00","39.597,96","0,00"
,0018-01235289,FACTURA DE COMPRA POS,,"$ 41.994,60",04/12/2025,04/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,AULO GELIO REP AER X 180 ML,7793094000454,ACEITE DE ,BAJER,ESP.,4,"5.075,12","0,00","0,00","0,00","20.300,48","0,00"
,,,,,,,,,,,FECOFAR VASELINA LIQ  X 250ML,7798006301254,VASELINA LIQUIDA ,FECOFAR,ALCOH-,3,"4.104,14","0,00","0,00","0,00","12.312,42","0,00"
,0018-01235700,FACTURA DE COMPRA POS,,"$ 5.427,90",04/12/2025,04/01/2026,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE ,,,,,,,,,,,,
,,,,,,,,,,SUC-22-INGRESO Y CONTROL ,COFARMEN GASA CAJA N5 10X10,7798013319785,null,COFARMEN ,ACC.MASIVOS,2,"2.229,11","0,00","0,00","0,00","4.458,22","0,00"
,0018-01235886,FACTURA DE COMPRA POS,,"$ 19.517,58",04/12/2025,04/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,ESTRELLA ALGODON SUPER X400GR,7790064001725,null,QUIMICA ,PER.MASIVA,5,"3.756,23","0,00","0,00","0,00","18.781,15","0,00"
,0018-01237236,FACTURA DE COMPRA POS,,"$ 201.686,97",05/12/2025,05/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,DAUNLIP CAPS X 60,7795378004714,FENOFIBRATO 200 ,MONTPELLIER,ESP. ,4,"47.611,62","0,00","0,00","0,00","190.446,48","0,00"
,,,,,,,,,,,PROCER TOBI ELAST T8,7798028520107,null,PROCER,ORTOPEDIA Y ,2,"2.556,27","0,00","0,00","0,00","5.112,54","0,00"
,,,,,,,,,,,VOGUE ESM  FANTASTIC NU   36,7702433298476,null,VOGUE ,PER.MASIVA,1,"2.727,28","0,00","0,00","0,00","2.727,28","0,00"
